card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
Bitter Triumph,standard,2,5,REGISTERED,SPELL+FAMILY,
"Elspeth, Storm Slayer",standard,2,5,REGISTERED,ETB,
It'll Quench Ya!,standard,2,5,REGISTERED,SPELL,
Rest in Peace,standard,2,5,REGISTERED,ETB,
Temporary Lockdown,standard,2,5,REGISTERED,ETB+FAMILY,
"Beza, the Bounding Spring",standard,2,4,REGISTERED,ETB,
Day of Judgment,standard,2,4,REGISTERED,SPELL,
Lumbering Worldwagon,standard,2,4,REGISTERED,ETB,
Obliterating Bolt,standard,2,4,REGISTERED,SPELL,
Ultima,standard,2,4,REGISTERED,SPELL,
Royal Treatment,standard,2,3,REGISTERED,SPELL,
Spell Snare,standard,2,3,REGISTERED,SPELL,
Wild Ride,standard,2,3,REGISTERED,SPELL,
"Ygra, Eater of All",standard,2,3,REGISTERED,ETB,
Craterhoof Behemoth,standard,2,2,REGISTERED,ETB,
Roaring Furnace / Steaming Sauna,standard,2,2,REGISTERED,ETB,
Scrapshooter,standard,2,2,REGISTERED,ETB,
Slagstorm,standard,2,2,REGISTERED,SPELL,
Artist's Talent,standard,1,4,REGISTERED,ETB,
"Ashling, Rekindled",standard,1,4,REGISTERED,ETB,
Bringer of the Last Gift,standard,1,4,REGISTERED,ETB,
Burnout Bashtronaut,standard,1,4,REGISTERED,ETB,
Deepchannel Duelist,standard,1,4,REGISTERED,ETB,
Deepway Navigator,standard,1,4,REGISTERED,ETB,
Disruptor of Currents,standard,1,4,REGISTERED,ETB,
Dredger's Insight,standard,1,4,REGISTERED,ETB,
Elusive Otter,standard,1,4,REGISTERED,ETB,
Emberheart Challenger,standard,1,4,REGISTERED,ETB,
Enduring Innocence,standard,1,4,REGISTERED,ETB,
Faerie Dreamthief,standard,1,4,REGISTERED,ETB,
Flamebraider,standard,1,4,REGISTERED,ETB,
Full Bore,standard,1,4,REGISTERED,SPELL,
Genemorph Imago,standard,1,4,REGISTERED,ETB,
Hearthborn Battler,standard,1,4,REGISTERED,ETB,
Hired Claw,standard,1,4,REGISTERED,ETB,
Honor,standard,1,4,REGISTERED,SPELL,
"Kavaero, Mind-Bitten",standard,1,4,REGISTERED,ETB,
Leyline Binding,standard,1,4,REGISTERED,ETB,
Leyline of Resonance,standard,1,4,REGISTERED,ETB,
Mindspring Merfolk,standard,1,4,REGISTERED,ETB,
Monument to Endurance,standard,1,4,REGISTERED,ETB,
Novice Inspector,standard,1,4,REGISTERED,ETB,
Overlord of the Boilerbilges,standard,1,4,REGISTERED,ETB,
Pawpatch Recruit,standard,1,4,REGISTERED,ETB,
Razorkin Needlehead,standard,1,4,REGISTERED,ETB,
Scalding Viper,standard,1,4,REGISTERED,ETB,
Scorching Shot,standard,1,4,REGISTERED,SPELL,
Sentinel of the Nameless City,standard,1,4,REGISTERED,ETB,
Shock,standard,1,4,REGISTERED,SPELL+FAMILY,
Silvergill Mentor,standard,1,4,REGISTERED,ETB,
Smuggler's Surprise,standard,1,4,REGISTERED,SPELL,
Stadium Headliner,standard,1,4,REGISTERED,ETB,
Sunpearl Kirin,standard,1,4,REGISTERED,ETB,
Sygg's Command,standard,1,4,REGISTERED,SPELL,
Turn Inside Out,standard,1,4,REGISTERED,SPELL,
Up the Beanstalk,standard,1,4,REGISTERED,ETB,
Wanderbrine Trapper,standard,1,4,REGISTERED,ETB,
"Cecil, Dark Knight",standard,1,3,REGISTERED,ETB,
"Chandra, Spark Hunter",standard,1,3,REGISTERED,ETB,
Doomsday Excruciator,standard,1,3,REGISTERED,ETB,
Formidable Speaker,standard,1,3,REGISTERED,ETB,
Frostcliff Siege,standard,1,3,REGISTERED,ETB,
Great Divide Guide,standard,1,3,REGISTERED,ETB,
Herd Migration,standard,1,3,REGISTERED,SPELL,
Insatiable Avarice,standard,1,3,REGISTERED,SPELL+FAMILY,
Iroh's Demonstration,standard,1,3,REGISTERED,SPELL,
Momentum Breaker,standard,1,3,REGISTERED,ETB,
Nova Hellkite,standard,1,3,REGISTERED,ETB,
Nowhere to Run,standard,1,3,REGISTERED,ETB,
"Ojer Axonil, Deepest Might",standard,1,3,REGISTERED,ETB,
Overlord of the Balemurk,standard,1,3,REGISTERED,ETB,
Overlord of the Mistmoors,standard,1,3,REGISTERED,ETB,
Roaming Throne,standard,1,3,REGISTERED,ETB,
Sapling Nursery,standard,1,3,REGISTERED,ETB,
Sheltered by Ghosts,standard,1,3,REGISTERED,SPELL,
Starfield Shepherd,standard,1,3,REGISTERED,ETB,
Strategic Betrayal,standard,1,3,REGISTERED,SPELL,
Sunfall,standard,1,3,REGISTERED,SPELL+FAMILY,
"Tokka & Rahzar, Terrible Twos",standard,1,3,REGISTERED,ETB,
Torrent of Stone,standard,1,3,REGISTERED,SPELL,
Twisted Fealty,standard,1,3,REGISTERED,SPELL,
"Zur, Eternal Schemer",standard,1,3,REGISTERED,ETB,
Abrupt Inquiry,standard,1,2,REGISTERED,ETB,
"Ardyn, the Usurper",standard,1,2,REGISTERED,ETB,
Assassin's Trophy,standard,1,2,REGISTERED,SPELL,
Authority of the Consuls,standard,1,2,REGISTERED,ETB,
Bitterbloom Bearer,standard,1,2,REGISTERED,ETB,
"Calamity, Galloping Inferno",standard,1,2,REGISTERED,ETB,
Cheeky House-Mouse,standard,1,2,REGISTERED,ETB,
Cryogen Relic,standard,1,2,REGISTERED,ETB,
Devout Decree,standard,1,2,REGISTERED,SPELL,
Elspeth's Smite,standard,1,2,REGISTERED,SPELL,
Eumidian Terrabotanist,standard,1,2,REGISTERED,ETB,
Feed the Cycle,standard,1,2,REGISTERED,SPELL,
Ill-Timed Explosion,standard,1,2,REGISTERED,SPELL,
Jeskai Revelation,standard,1,2,REGISTERED,SPELL,
"Kellan, Planar Trailblazer",standard,1,2,REGISTERED,ETB,
Kinetic Hellion,standard,1,2,REGISTERED,ETB,
Leyline of the Void,standard,1,2,REGISTERED,ETB,
Maelstrom Pulse,standard,1,2,REGISTERED,SPELL,
Might of the Meek,standard,1,2,REGISTERED,SPELL,
Mockingbird,standard,1,2,REGISTERED,ETB,
Mold Adder,standard,1,2,REGISTERED,ETB,
Nimble Larcenist,standard,1,2,REGISTERED,ETB,
North Wind Avatar,standard,1,2,REGISTERED,ETB,
Not on My Watch,standard,1,2,REGISTERED,SPELL,
Origin of Metalbending,standard,1,2,REGISTERED,SPELL,
Overlord of the Floodpits,standard,1,2,REGISTERED,ETB,
Preacher of the Schism,standard,1,2,REGISTERED,ETB,
Qarsi Revenant,standard,1,2,REGISTERED,ETB,
Requisition Raid,standard,1,2,REGISTERED,SPELL,
Scrollshift,standard,1,2,REGISTERED,SPELL,
Shardmage's Rescue,standard,1,2,REGISTERED,SPELL,
Shimmerwilds Growth,standard,1,2,REGISTERED,ETB,
Shoot the Sheriff,standard,1,2,REGISTERED,SPELL,
Splitskin Doll,standard,1,2,REGISTERED,ETB,
Summon: Bahamut,standard,1,2,REGISTERED,ETB,
Tinybones Joins Up,standard,1,2,REGISTERED,ETB,
"Ureni, the Song Unending",standard,1,2,REGISTERED,ETB,
Vaultborn Tyrant,standard,1,2,REGISTERED,ETB,
Abhorrent Oculus,standard,1,1,REGISTERED,ETB,
Ancient Vendetta,standard,1,1,REGISTERED,SPELL,
Archenemy's Charm,standard,1,1,REGISTERED,SPELL,
Awaken the Honored Dead,standard,1,1,REGISTERED,ETB,
Champion of the Weird,standard,1,1,REGISTERED,ETB,
Dark Leo & Shredder,standard,1,1,REGISTERED,ETB,
Dauntless Scrapbot,standard,1,1,REGISTERED,ETB,
Doppelgang,standard,1,1,REGISTERED,SPELL,
Fanatical Firebrand,standard,1,1,REGISTERED,ETB,
Fear of Isolation,standard,1,1,REGISTERED,ETB,
Flame Javelin,standard,1,1,REGISTERED,SPELL,
Fresh Start,standard,1,1,REGISTERED,ETB,
Glacial Dragonhunt,standard,1,1,REGISTERED,SPELL,
"Glarb, Calamity's Augur",standard,1,1,REGISTERED,ETB,
Harvester of Misery,standard,1,1,REGISTERED,ETB,
"Leatherhead, Swamp Stalker",standard,1,1,REGISTERED,ETB,
Malboro,standard,1,1,REGISTERED,ETB,
Octopus Form,standard,1,1,REGISTERED,SPELL,
"Oko, Lorwyn Liege",standard,1,1,REGISTERED,ETB,
Riverchurn Monument,standard,1,1,REGISTERED,ETB,
"Sanar, Unfinished Genius",standard,1,1,HAS_EFFECTS,ETB_EFFECTS,"Sanar enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepare..."
"Shiko, Paragon of the Way",standard,1,1,REGISTERED,ETB,
Surgical Suite / Hospital Room,standard,1,1,REGISTERED,ETB,
Tersa Lightshatter,standard,1,1,REGISTERED,ETB,
The Unagi of Kyoshi Island,standard,1,1,HAS_EFFECTS,ETB_EFFECTS,Flash | Ward—Waterbend {4}. (Whenever this creature becomes the target of a spell or ability an o...
Traumatic Critique,standard,1,1,HAS_EFFECTS,SPELL_EFFECTS,"Traumatic Critique deals X damage to any target. Draw two cards, then discard a card."
Unsummon,standard,1,1,REGISTERED,SPELL,
Vivien Reid,standard,1,1,REGISTERED,ETB,
Zack Fair,standard,1,1,REGISTERED,ETB,
